COM,part_cadres_20,part_cadres_14,part_diplome_20,part_diplome_14,P20_POP,P14_POP,delta_elec,delta_score,score_2014,score_2020,croissance_pop,delta_pct_diplome,delta_pct_cadres,log_med_13
01034,0.038646707663792496,0.03767738418912588,0.1891837292273975,0.16684864948961536,9206.999999999987,8983.0,0.0,3.8200000000000003,51.17,54.99,0.02463016205863866,0.02233507973778215,0.0009693234746666127,9.828171158226679
01160,0.13442131784524264,0.16045616425840742,0.372974764748512,0.3586442789853146,10612.0,9336.999999999996,0.0,-0.05000000000000426,50.45,50.4,0.12800043477370338,0.014330485763197398,-0.02603484641316478,10.146760475145502
01194,0.060754300142023036,0.05516092375532537,0.1999368786492031,0.16615224470465229,6337.0,6221.999999999985,0.0,-4.6100000000000065,56.77,52.16,0.018314071865937365,0.03378463394455081,0.005593376386697664,9.953156451384247
01249,0.11566359537345619,0.09139332441387879,0.26592824936287,0.2272430629608875,10202.0,9424.999999999996,-1.0,2.6199999999999974,48.11,50.73,0.07921804616666073,0.03868518640198251,0.0242702709595774,10.03058999031236
03001,0.05174197999310107,0.05336795090893457,0.2045532942393929,0.17043313354788764,2899.0,2847.0,-1.0,14.36,42.87,57.23,0.018100041643617892,0.03412016069150525,-0.0016259709158335037,9.919729928081992
04070,0.04573083960697434,0.04649849356389768,0.21940337696967874,0.1915243744238446,16863.99999999999,16304.000000000004,-1.0,-14.489999999999995,46.98,32.49,0.03377069587858195,0.02787900254583414,-0.0007676539569233393,9.848418037022055
04143,0.048919526619755745,0.06100497791859295,0.21615985061320775,0.18753567161779888,5920.0,5792.0,0.0,7.710000000000001,50.48,58.19,0.021858793812498334,0.028624178995408867,-0.012085451298837202,9.90113478695253
05023,0.05151825382639305,0.03972344992998295,0.27044706075014874,0.21968330095391092,10779.999999999996,12392.0,-1.0,-3.719999999999999,52.72,49.0,-0.13935853763371675,0.05076375979623782,0.011794803896410098,9.846176185823014
06010,0.09847281240816638,0.09893469437152846,0.27938876883152064,0.25110700702538,2927.0,2998.0,0.0,-7.399999999999999,56.68,49.28,-0.02396739197065667,0.028281761806140615,-0.00046188196336208187,10.013148806745647
06033,0.05416310864976626,0.05935974291441372,0.19191071145158123,0.15121541647622988,12875.000000000004,11954.999999999996,-1.0,10.840000000000003,39.5,50.34,0.07413784563951253,0.04069529497535135,-0.005196634264647455,9.894219738715211
06083,0.05006653461406697,0.04392435390429162,0.20020823395951642,0.17884328258771484,30679.00000000001,28562.999999999993,0.0,11.220000000000006,44.48,55.7,0.07146620747206,0.021364951371801583,0.006142180709775347,9.896563637463304
06088,0.0801097448551047,0.07274728265840912,0.26520608697965276,0.22714230170162258,343476.99999999994,343895.00000000006,0.0,10.690000000000005,48.62,59.31,-0.0012162265891699775,0.03806378527803017,0.0073624621966955905,9.843413126556424
06095,0.0803799780781878,0.08433486538977475,0.25965168676166117,0.24434602771618325,8211.0,8059.999999999996,0.0,13.910000000000004,44.19,58.1,0.018561162208115434,0.015305659045477926,-0.003954887311586955,10.022869309556208
06118,0.07927963481744767,0.06590330788804072,0.24234688778662364,0.19745547073791347,3927.0,3930.0,0.0,-11.089999999999996,53.11,42.02,-0.0007636502852967908,0.044891417048710164,0.013376326929406948,9.974473991102617
06122,0.08587239459235163,0.10823393713940305,0.3001795741231869,0.2721712200553185,4317.0,4029.999999999991,0.0,1.5,53.98,55.48,0.06879434061475109,0.02800835406786839,-0.022361542547051416,10.120790078225328
06136,0.044831223628691984,0.04482440110641787,0.1940928270042194,0.15871477401177703,3792.0,3709.0,0.0,0.21000000000000085,51.54,51.75,0.022131285885322427,0.03537805299244237,6.822522274116394e-06,9.905784911584812
06137,0.06460719581135883,0.08043310131477185,0.3058912382815583,0.2877030162412993,1171.0,1293.0,0.0,-1.7000000000000028,43.06,41.36,-0.09910701517414022,0.018188222040258994,-0.01582590550341302,10.050204459029493
06140,0.06405015434009287,0.06613320054604213,0.25826664182762854,0.22128395371759127,3069.0,3298.0000000000105,0.0,-11.279999999999994,51.41,40.13,-0.07196444849981098,0.03698268811003727,-0.0020830462059492627,10.071822867355344
06155,0.05767337086740367,0.05815900003344631,0.18804830266517103,0.19210588857174055,27970.0,26301.999999999996,0.0,-8.050000000000004,43.49,35.44,0.061487525294095846,-0.004057585906569516,-0.0004856291660426393,9.847657667575458
06157,0.08860922112364716,0.0883164577449493,0.30153038302543167,0.2769593028581656,19315.00000000001,18536.0,0.0,-3.6000000000000014,45.31,41.71,0.0411672089881705,0.024571080167266057,0.00029276337869786617,9.973300600406967
07341,0.03632760898282695,0.020188090317769976,0.19220607661822986,0.14617728959194934,3028.0,2927.0,-1.0,-0.8599999999999994,37.46,36.6,0.03392432786545374,0.04602878702628052,0.016139518665056973,9.860073818520304
07346,0.05044995909462776,0.028140157728405002,0.1805290428142896,0.1565115147587156,3667.0,3788.000000000013,0.0,9.260000000000005,37.83,47.09,-0.03246428623464581,0.024017528055574,0.022309801366222758,9.858558403307141
08174,0.042019350135090804,0.025701870891989376,0.15322480695257065,0.11512053268827449,2293.0,2487.0,0.0,17.290000000000006,38.8,56.09,-0.0812161609455,0.03810427426429616,0.016317479243101427,9.88495012453767
08363,0.021477948836996413,0.020498026116003643,0.10874745894347854,0.08669905860917097,5825.0,6586.0,0.0,4.350000000000001,52.23,56.58,-0.12278718450240689,0.022048400334307564,0.00097992272099277,9.696053294927095
08409,0.031166228290314287,0.030957551529610217,0.13328221784562452,0.10884885083583927,16376.000000000013,17828.999999999996,0.0,2.6499999999999986,51.34,53.99,-0.08500949669364388,0.024433367009785253,0.00020867676070407057,9.624566985752919
09157,0.02104221197468394,0.015847233653763726,0.11758317528125743,0.0924115316605098,2391.0,2490.0,0.0,9.719999999999999,39.36,49.08,-0.04057102200042895,0.025171643620747627,0.005194978320920213,9.760002019527374
09225,0.036910019228555406,0.03822852584612656,0.17329432538350945,0.15088403993553381,15937.99999999999,15518.000000000004,0.0,-5.200000000000003,46.59,41.39,0.026705554503797302,0.02241028544797563,-0.001318506617571151,9.763139327219596
09261,0.042295168289102104,0.03547174920460782,0.1890280459540633,0.17376851328824855,6415.0,6283.999999999996,0.0,-6.829999999999998,50.0,43.17,0.020632277674224042,0.015259532665814757,0.006823419084494284,9.818551941730345
10362,0.06267445926874395,0.06581053622477197,0.21051434797537918,0.1920845765283615,10496.0,10133.999999999996,-1.0,-4.899999999999999,43.5,38.6,0.035098125148016024,0.018429771447017684,-0.003136076956028022,9.870350794538089
11069,0.0475582550588552,0.04809082174529281,0.21206326371017828,0.18899677327178607,46672.999999999985,45940.99999999999,0.0,6.780000000000001,40.42,47.2,0.0158078744716601,0.023066490438392206,-0.0005325666864376133,9.74609272726603
