COM,P14_POP,C14_POP15P_CS3,P14_NSCOL15P_SUP,MED13,P20_POP,C20_POP15P_CS3,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,MED19
01001,767.0,75.0,141.0,22130.0,806.0,61.7742384237732,83.43553685278,58.9385812256485,38.706320269003,23970
01002,239.0,14.75308641975309,59.99588477366257,23213.0,262.0,18.283656376223,28.9772935755001,27.5904600817185,23.9346861324354,23640
01004,14021.999999999998,743.2884791636601,2326.3271498866816,19554.0,14288.0,804.6515001101343,1345.650547104103,800.1389208649236,732.117886282673,20510
01005,1627.0,105.5188387893761,281.3835701050024,22387.619047619,1782.0,115.0,186.0,104.0,87.0,24050
01006,109.0,4.95454545454545,12.881818181818184,21871.6666666667,113.0,9.91228070175439,11.8947368421053,10.9035087719298,5.94736842105263,s
01007,2570.0,195.0,497.0,21650.6666666667,2827.0,211.204366978532,291.197841663201,180.816511323097,149.356732855369,23380
01008,743.0,71.90322580645164,157.7876344086022,23669.5238095238,768.0,50.3945788254414,91.6238043802885,43.8169895907931,39.5165175806435,25450
01009,338.00000000000165,16.04747774480712,65.19287833827924,21486.25,324.0,4.77347938298151,31.0179875131144,23.2396244625927,21.32573370623,23790
01010,1142.0,42.7315247895229,129.26286248830647,21015.3333333333,1101.0,44.1355611852963,74.9049252856803,45.5610726266749,28.0518636182108,23770
01011,397.0,70.11948051948043,83.52467532467523,22690.0,368.0,34.6158517118285,38.1997005925474,29.41877029777,15.8094059064715,24450
01012,325.0000000000006,33.44051446945336,66.88102893890688,20211.0,327.0,4.98679840077633,33.1213950277309,21.063684244802,10.0152717110575,21070
01013,157.0,7.85,18.64375,19534.2857142857,143.0,9.93055555555556,8.9375,5.95833333333333,1.98611111111111,19900
01014,3405.0,153.50285967574266,384.881108490626,19565.7142857143,3336.0,94.883669941829,226.578714707212,151.2261862568,82.5296198297327,21460
01015,638.0000000000016,24.39907279420348,116.47373013441003,21587.1428571429,663.0,82.3769499406251,64.6050975382018,48.1674975495953,37.8836477776608,22700
01016,440.0,19.4260485651214,59.24944812362033,20532.5,458.0,15.0,43.0,25.0,7.0,21840
01017,427.0,4.87442922374429,52.64383561643833,18644.7619047619,445.0,0.0,45.7287006285438,17.7649855778865,12.0664327467282,20120
01019,23.0,0.0,0.958333333333333,NA,26.0,0.0,1.0,0.0,0.0,s
01021,1376.0,99.23749704048312,276.8599216732022,22960.6666666667,1490.0,141.581345069034,159.92085538799,115.734124742391,80.7100751597698,24810
01022,1193.0,30.25305122381682,144.65196996458198,18782.0,1213.0,41.1856780492881,94.8839890821915,67.8713875592744,38.4493810239375,20690
01023,66.0,5.0,12.0,NA,76.0,5.0,6.0,3.0,4.0,s
01024,3386.000000000014,152.4244372990353,535.6630225080409,21300.5555555556,3299.0,192.812224909553,324.24599864666,198.994152628873,104.398837821397,22820
01025,3177.0,115.0,553.0,21148.625,4068.0,205.506844007895,412.704317212941,232.959204020309,153.259979769092,22970
01026,881.0,20.0,120.0,20546.0,977.0,55.2568730580292,68.3389212438035,51.2665778721719,31.142154624335,21060
01027,2973.000000000007,237.4216914439943,390.1679081835814,22476.0,2647.0,191.7731951455,238.054075676589,113.796622489479,108.586568945347,24250
01028,585.0,24.49748743718595,93.09045226130652,22035.6,625.0,35.0,44.0,35.0,21.0,22560
01029,678.0000000000014,36.18345379933467,63.32104414883583,19184.0,683.0,25.0591050168646,39.5919247911619,20.6818327730267,10.8284314132506,20780
01030,886.0,45.0,127.0,19916.0,821.0,84.2181471261075,56.7726073126461,43.9196344112408,43.4686699895304,22990
01031,3655.999999999995,165.3922075695142,465.8363740351507,18541.6666666667,3671.0,161.775784411198,234.245493206154,179.832875932218,92.86767643886,19570
01032,3296.0,207.3284455975761,573.1743801035918,20256.0,3414.0,219.1319221352,276.229017077422,176.342866899361,164.102740712097,21980
01033,11744.999999999996,552.1266982930445,1792.7765456835914,19063.9130434783,16434.00000000001,820.8432696438176,1213.865752023687,834.2319309428619,789.8896959045808,22440
01034,8983.0,338.4559421709178,1498.8014183652149,18549.0,9206.999999999989,355.820237460537,711.274173724505,542.9272659934375,487.6131552787041,20030
01035,321.0,10.1904761904762,76.4285714285715,21729.6666666667,308.0,10.0,32.0,29.0,26.0,24210
01036,549.0,23.0285234899329,127.11744966442949,20666.0,1334.0,103.107089693595,142.402638383794,127.418430303049,103.577744208416,22890
01037,282.0,9.63379139208456,48.48623437581473,19788.3333333333,309.0,5.11748494462925,28.8067133547632,22.7124866187343,17.9047324794809,21450
01038,731.0,43.16929133858271,126.62992125984248,20839.0476190476,759.0,39.6063764926349,84.7502321957359,44.4399185629424,35.5293146464257,22980
01039,467.0000000000008,12.26258205689277,72.5536105032824,20048.0,439.0,19.9255504435017,32.2803402344826,14.6523272752523,15.650136519974,21230
01040,477.0,9.85537190082644,66.03099173553721,20274.7619047619,480.0,10.0,40.0,28.0,6.0,21610
01041,749.0,44.17694369973192,127.51072386058986,21861.9047619048,748.0,40.1696761884068,64.3776404627648,46.2660096547964,31.161805440534,22810
01042,265.0,28.80434782608696,52.80797101449276,23768.0,291.0,5.93459251993905,26.7194293769885,19.0557957465354,15.1579168492636,24570
01043,4541.0,535.0,1148.0,25327.1333333333,4829.0,710.244638156086,500.977824395609,381.33895884972,590.317633529053,28010
01044,594.9999999999986,37.05882352941177,95.73529411764684,24782.7777777778,628.0,29.7024628716597,55.5196308966668,33.5728714095642,23.8479044140309,25780
01045,284.9999999999992,16.28571428571428,54.96428571428556,23901.6666666667,285.0,40.7127593994008,26.3304225095315,25.4096821290437,17.2899364322019,26530
01046,818.0000000000014,28.03427172582617,99.12117503059991,20972.5,912.0,26.2218487257881,75.9364019630319,42.5794959653483,22.9803514592977,22870
01047,972.0,53.46,235.224,25184.0,1269.0,135.0,141.0,103.0,103.0,25410
01049,2932.0,228.6624796464293,628.0146545708302,24096.4,3335.0,285.0,343.0,216.0,242.0,25350
01050,323.0,9.75368993203154,33.1625457689072,19179.5,380.0,0.0,27.0,12.0,9.0,20770
01051,88.0,0.0,15.472527472527473,NA,91.0,0.0,10.2247191011236,3.06741573033708,0.0,s
01052,300.0,15.48387096774192,70.64516129032258,24708.0,332.0,45.4933482154416,42.5560261715744,21.2524976178532,24.2447560874523,26780
01053,40967.0,2027.1247857436283,7436.867892474174,18088.0,41681.0,2144.1230851567243,3125.3158397108296,2996.991653644404,2295.5661791476864,19290
01054,1270.0,121.1446740858507,303.8712241653414,24336.6666666667,1482.0,173.253198031187,150.789159513974,106.31243967759,124.416853257461,26360
01056,370.00000000000153,4.1340782122905,74.41340782122936,17727.5,351.0,30.415699446811,41.5864192926727,13.1713072828029,14.1981604824873,20200
01057,512.0,9.92027335236992,77.37813214848545,19870.4166666667,514.0,15.0,45.0,35.0,14.0,22460
01058,860.9999999999981,20.20505163393184,130.3225830388601,19369.4202898551,819.0,25.0,68.0,47.0,37.0,22180
01059,96.0,4.57142857142857,26.514285714285705,NA,NA,NA,NA,NA,NA,NA
01060,549.0000000000022,16.17679558011048,100.0939226519341,21680.4166666667,486.0,34.0856639605441,53.3052438745349,37.6424413225229,20.1489994101569,23990
01061,1186.0,75.9607173356106,231.93339026473149,22209.4444444444,1133.0,95.0,105.0,75.0,48.0,24200
01062,825.9999999999961,93.58620689655174,215.6551724137921,25964.4444444444,951.0,76.4788164103798,97.1210847561011,78.8625634826613,89.6050586833169,27790
01063,514.0,19.96116504854368,83.83689320388346,23666.0,561.0,23.8582144463409,48.269241076055,42.4044089946715,26.6928726433792,24930
01064,973.0,38.92,98.273,19868.3333333333,1095.0,45.0,85.0,46.0,19.0,22230
01065,1754.0,152.0,408.0,23388.6956521739,1825.0,190.929843238297,200.700706635154,149.036638533333,123.153316837377,25650
01066,71.0,0.0,14.0,NA,92.0,5.1685393258427,0.0,9.30337078651685,5.1685393258427,s
01067,263.0,10.0,49.0,20545.2173913043,259.0,15.2392459153073,29.3526404350128,16.2956219659948,15.4144195331227,23180
01068,764.0,39.17386330992096,119.52137788919428,19620.5,771.0,25.0,69.0,31.0,35.0,21270
01069,1465.999999999993,105.88425113367867,261.6562744361085,22579.6,1514.0,94.7295212128631,149.315888688585,88.7577069511846,77.4517604433174,24070
01071,4797.00000000001,590.9707890556248,1410.6368249507727,35336.0,5045.0,581.217225287158,385.851286915398,472.37231981355,706.941491079404,39170
01072,3068.0,226.2097705411419,765.8245127262344,22138.8,3202.0,211.083475930954,365.19573283354,227.797234660355,250.979482632265,24450
01073,1007.0,72.14328358208964,198.3940298507455,21771.25,995.0,83.1742954332041,87.6364767119714,71.5607765144154,71.2589169286839,23630
01074,2408.0,115.16422515433104,353.4677485345282,20882.6086956522,2574.0,172.83659364822,219.276964960047,126.003627456552,134.553251856668,22050
01075,1234.0,82.5848962066175,205.97644700944625,22893.6,1402.0,85.0,136.0,77.0,70.0,23890
01076,151.0,8.62857142857142,10.7857142857143,18523.0,122.0,0.0,6.56923076923077,1.87692307692308,6.56923076923077,21600
01077,185.0,19.17098445595856,32.590673575129514,20540.3888888889,192.0,5.18918918918919,17.6432432432432,14.5297297297297,18.6810810810811,21620
01078,1377.0000000000057,160.73026532869696,363.75405442117216,37584.6666666667,1597.0,175.0,121.0,143.0,202.0,40710
01079,821.0,20.0,124.0,20196.0,822.0,50.8052706127183,79.2529461765579,51.7095115158887,35.5632672627441,21380
01080,669.0000000000008,16.63920009545185,132.26688148811309,21273.5714285714,636.0,0.0,61.0092166799867,39.6068213802169,18.669577733472,22060
01081,730.0,15.0,129.0,23068.0,726.0,9.40949373085936,77.6003838292476,57.3009317469573,22.6453043217285,25310
01082,647.999999999999,36.80455891299705,120.63716532593448,22664.7619047619,637.0,30.6357515164082,44.0848324842738,44.0091087361996,32.6626861395622,25150
01083,864.0,33.67483296213806,157.79064587973278,22154.0,965.0,73.7947124539634,90.8637552641066,69.5592111583359,32.3722971465667,23920
01084,780.0,33.95263845731261,137.78040003139216,21323.8888888889,921.0,65.0,90.0,67.0,32.0,22320
01085,379.0,19.58656330749356,78.34625322997417,22413.8095238095,397.0,20.9235354042421,48.5342473946153,25.8509579130544,21.7609332305918,24350
01087,283.999999999999,28.09893992932859,66.23321554770294,22476.0,279.0,44.2997771874001,35.6743355109407,20.4998912384409,13.7631620773958,24460
01088,930.999999999996,85.46885245901646,206.54972677595543,24434.0,902.0,94.7590490786071,112.979524311064,71.2484364198153,66.131013092764,27040
01089,1999.0,100.0,316.0,21614.1785714286,2254.0,115.059836496795,235.068496958127,116.05040854067,83.0150764986571,23440
01090,332.0,15.0,56.0,20505.0,361.0,5.04591531541989,33.4992205745967,22.32399681013,20.3212194747289,22780
01091,3311.0,202.31075608617147,608.518596394131,24916.9230769231,NA,NA,NA,NA,NA,NA
01092,1568.0,95.0,281.0,22144.6666666667,1622.0,111.277692542088,169.917928435965,110.262490015366,75.7946468266139,24440
01093,4956.0,247.8521926116071,701.7152502736491,20118.0,4968.0,223.887434268168,382.748077108139,247.312390175491,187.032124514222,21990
01094,746.0000000000006,32.61202185792352,96.81693989071044,20397.9166666667,761.0,25.1004831410212,58.2308240250405,37.2615665081387,17.1463084722593,22180
01095,648.0,29.3212669683258,125.10407239819008,19968.2926829268,843.0,45.6866345545106,99.9248314713123,48.3924066387158,39.2407633827114,21550
01096,993.0000000000016,20.36923076923075,146.65846153846175,21338.6666666667,1033.0,46.261292557021,105.377347900034,50.1785502806997,22.4602348677217,21890
01097,219.0,4.93243243243243,50.31081081081079,20368.0,NA,NA,NA,NA,NA,NA
01098,849.999999999997,49.10561917114908,124.81011539333694,20725.3333333333,1175.0,25.7233338764592,83.1179588998166,58.5243227326886,30.697875360231,21250
01099,1530.0,160.070588015392,318.13983000095,23512.5,1590.0,160.0,156.0,98.0,111.0,24930
01100,139.0,10.0,18.0,19231.1111111111,131.0,10.0,13.0,4.0,3.0,20970
01101,157.00000000000057,5.03205128205128,39.25000000000014,22004.5,152.0,20.0,23.0,17.0,13.0,27470
01102,957.0000000000013,36.49678053217848,125.71113294417032,20947.3333333333,966.0,20.3740140998439,78.4306267435631,44.8920088463281,16.4321222524254,22490
01103,1459.0,193.0,449.0,36382.0,2226.0,335.74306904032,187.1946597501,227.757009843127,324.653800383747,40750
01104,461.0000000000008,10.02173913043478,95.2065217391306,22047.2,453.0,32.19099473042,49.0365841589706,38.8759767917192,30.7202725086128,25530
01105,1489.0,170.0,347.0,25740.4,1867.0,204.156572014306,232.720260525717,150.055711422516,154.126633484641,27000
01106,173.0,5.0,24.0,19107.5,178.0,4.97206703910615,15.9106145251397,8.94972067039106,3.97765363128492,22170
01107,136.0,10.07407407407408,31.22962962962971,21548.0,136.0,18.8888888888889,11.3333333333333,17.9444444444444,7.55555555555556,22050
01108,1198.0,70.0053860169165,181.19041086731377,20093.3333333333,1161.0,18.9880422285502,92.4931202942581,60.549797168146,38.5219175852633,21990
01109,2163.0,208.0,432.0,29177.5,2230.0,211.093006329112,173.703604037322,158.505271384027,187.845962131137,32180
01110,130.0,0.0,27.0,20374.6153846154,159.0,0.0,10.1923076923077,11.2115384615385,9.17307692307692,20480
01111,118.0,15.0,25.0,20130.4761904762,133.0,35.2651515151515,12.0909090909091,7.0530303030303,5.03787878787879,21330
01112,416.0000000000013,5.01204819277108,76.18313253012072,20757.5,467.0,35.0,52.0,32.0,26.0,23770
01113,828.0,40.0,119.0,18627.5,817.0,14.9884600615599,78.0829806691816,43.9815796698401,36.0826573803215,22070
01114,563.0000000000011,16.25840669303056,102.93429008215102,23717.1428571429,693.0,26.9506541602345,59.2112545468659,51.4997643606626,33.4572091127601,27400
